method,category,image_id,real_image,generated_image,psnr,ssim,lpips
classical,airplane,0,real_0.png,gen_0.png,10.321753885207897,0.19885647,0.27903544902801514
classical,airplane,1,real_1.png,gen_1.png,8.459010806512865,0.055039275,0.282593309879303
classical,airplane,2,real_10.png,gen_10.png,8.292575254010128,0.04951666,0.23364917933940887
classical,airplane,3,real_11.png,gen_11.png,9.558284904641013,0.08423439,0.16287826001644135
classical,airplane,4,real_12.png,gen_12.png,10.273718500179552,0.05512016,0.2545846700668335
classical,airplane,5,real_13.png,gen_13.png,10.15065087680646,0.06384731,0.2990930676460266
classical,airplane,6,real_14.png,gen_14.png,9.331585759154489,-0.049068417,0.2946816086769104
classical,airplane,7,real_15.png,gen_15.png,10.101793342803306,0.0030779603,0.22629091143608093
classical,airplane,8,real_2.png,gen_2.png,11.44226354890108,0.0057101324,0.2628936171531677
classical,airplane,9,real_3.png,gen_3.png,10.342535523209015,-0.034260824,0.19268712401390076
classical,airplane,10,real_4.png,gen_4.png,9.418308414324697,0.25648868,0.3162221908569336
classical,airplane,11,real_5.png,gen_5.png,9.304313170224324,0.10332253,0.3280819058418274
classical,airplane,12,real_6.png,gen_6.png,10.91319556780499,0.032681108,0.22084645926952362
classical,airplane,13,real_7.png,gen_7.png,13.609712361947405,0.1996063,0.18495404720306396
classical,airplane,14,real_8.png,gen_8.png,7.476085547121666,0.083251,0.27095696330070496
classical,airplane,15,real_9.png,gen_9.png,8.51032419803265,0.19359519,0.291910320520401
quantum,airplane,0,real_0.png,gen_0.png,10.822788248391216,0.033011902,0.3266729712486267
quantum,airplane,1,real_1.png,gen_1.png,9.052898688815535,-0.020692877,0.1892332136631012
quantum,airplane,2,real_10.png,gen_10.png,7.50828080048866,0.07631246,0.2267671823501587
quantum,airplane,3,real_11.png,gen_11.png,9.530984549231048,-0.018674146,0.1965900957584381
quantum,airplane,4,real_12.png,gen_12.png,11.195325885774432,0.089894444,0.3818819522857666
quantum,airplane,5,real_13.png,gen_13.png,8.796916489001008,0.05450291,0.14977256953716278
quantum,airplane,6,real_14.png,gen_14.png,8.743144444307333,-0.017927626,0.26936987042427063
quantum,airplane,7,real_15.png,gen_15.png,12.865352569443688,0.16542573,0.18107619881629944
quantum,airplane,8,real_2.png,gen_2.png,11.296786610400055,0.10536921,0.2526146173477173
quantum,airplane,9,real_3.png,gen_3.png,9.343824383524614,0.12343194,0.23495405912399292
quantum,airplane,10,real_4.png,gen_4.png,8.903616694241812,0.03294224,0.24641180038452148
quantum,airplane,11,real_5.png,gen_5.png,9.087927058024835,0.033990115,0.305700421333313
quantum,airplane,12,real_6.png,gen_6.png,14.45787895051443,0.12022523,0.15243032574653625
quantum,airplane,13,real_7.png,gen_7.png,11.447091484304398,0.098525085,0.19427086412906647
quantum,airplane,14,real_8.png,gen_8.png,7.055301421522996,0.08315224,0.32005202770233154
quantum,airplane,15,real_9.png,gen_9.png,7.008600627429436,-0.011376634,0.3205772042274475
classical,automobile,0,real_0.png,gen_0.png,9.306674199571582,0.014198221,0.24709606170654297
classical,automobile,1,real_1.png,gen_1.png,8.844354865085844,0.09994525,0.1897284984588623
classical,automobile,2,real_10.png,gen_10.png,9.585250749081176,0.020111479,0.18000876903533936
classical,automobile,3,real_11.png,gen_11.png,9.88904462961591,0.0024882518,0.09472943842411041
classical,automobile,4,real_12.png,gen_12.png,7.488309292113923,-0.003201903,0.4244866371154785
classical,automobile,5,real_13.png,gen_13.png,9.690998810162075,0.0015703918,0.12564408779144287
classical,automobile,6,real_14.png,gen_14.png,7.080262868089923,-0.15696041,0.15738293528556824
classical,automobile,7,real_15.png,gen_15.png,9.759490374643484,0.071420036,0.12764430046081543
classical,automobile,8,real_2.png,gen_2.png,6.190055711145488,0.055736672,0.2260470986366272
classical,automobile,9,real_3.png,gen_3.png,9.98777527146717,0.17803137,0.4077379107475281
classical,automobile,10,real_4.png,gen_4.png,7.747399682047453,-0.031260107,0.1602783501148224
classical,automobile,11,real_5.png,gen_5.png,9.916689408279932,-0.041550003,0.24928690493106842
classical,automobile,12,real_6.png,gen_6.png,9.410423268124173,0.08247467,0.33903324604034424
classical,automobile,13,real_7.png,gen_7.png,8.650385439100445,-0.060004134,0.14811988174915314
classical,automobile,14,real_8.png,gen_8.png,6.974742006705475,-0.004397448,0.2046433389186859
classical,automobile,15,real_9.png,gen_9.png,6.863028225051442,-0.07500622,0.2303808033466339
quantum,automobile,0,real_0.png,gen_0.png,8.787265521975582,0.028529571,0.2816931903362274
quantum,automobile,1,real_1.png,gen_1.png,7.9031027504080855,0.07604602,0.1307557225227356
quantum,automobile,2,real_10.png,gen_10.png,9.390935539596564,0.034744207,0.1742258369922638
quantum,automobile,3,real_11.png,gen_11.png,11.626084723152479,0.06646358,0.19848701357841492
quantum,automobile,4,real_12.png,gen_12.png,7.029328603311478,-0.006730309,0.27979332208633423
quantum,automobile,5,real_13.png,gen_13.png,8.315464048173887,0.03136794,0.2140524834394455
quantum,automobile,6,real_14.png,gen_14.png,8.37547773510587,0.009750596,0.16588425636291504
quantum,automobile,7,real_15.png,gen_15.png,8.544726589146483,0.020163583,0.18532273173332214
quantum,automobile,8,real_2.png,gen_2.png,9.588469334041642,0.044638246,0.16355016827583313
quantum,automobile,9,real_3.png,gen_3.png,8.188834441136555,-0.08188623,0.2489435076713562
quantum,automobile,10,real_4.png,gen_4.png,8.082037946885333,-0.0017549518,0.15720678865909576
quantum,automobile,11,real_5.png,gen_5.png,8.786018226229388,0.011449337,0.2091345638036728
quantum,automobile,12,real_6.png,gen_6.png,9.108982598715917,-0.005292503,0.23154067993164062
quantum,automobile,13,real_7.png,gen_7.png,8.903307868623573,0.034303017,0.19073301553726196
quantum,automobile,14,real_8.png,gen_8.png,6.8332896613184815,-0.021876022,0.28539836406707764
quantum,automobile,15,real_9.png,gen_9.png,8.529271105099053,0.17001702,0.14583557844161987
classical,bird,0,real_0.png,gen_0.png,16.43470752974338,0.07630872,0.3181231617927551
classical,bird,1,real_1.png,gen_1.png,10.009446977702297,0.030780891,0.19709059596061707
classical,bird,2,real_10.png,gen_10.png,9.070838409405193,0.06613102,0.2133091539144516
classical,bird,3,real_11.png,gen_11.png,10.95609243455603,0.065908186,0.2725716233253479
classical,bird,4,real_12.png,gen_12.png,9.002161187644509,0.10386608,0.23185467720031738
classical,bird,5,real_13.png,gen_13.png,8.598733617520306,0.08034419,0.22245681285858154
classical,bird,6,real_14.png,gen_14.png,5.433196775987384,0.038506377,0.35852622985839844
classical,bird,7,real_15.png,gen_15.png,11.067891616405966,0.026838878,0.1916784793138504
classical,bird,8,real_2.png,gen_2.png,12.038100679596953,0.006998042,0.22783538699150085
classical,bird,9,real_3.png,gen_3.png,10.240770222283718,0.047807246,0.2261486053466797
classical,bird,10,real_4.png,gen_4.png,10.4246592012616,0.1993786,0.184341162443161
classical,bird,11,real_5.png,gen_5.png,10.30637055841207,0.06384378,0.3056735396385193
classical,bird,12,real_6.png,gen_6.png,11.878999505511679,0.15425415,0.16180646419525146
classical,bird,13,real_7.png,gen_7.png,9.835818974033888,0.0252179,0.10818023234605789
classical,bird,14,real_8.png,gen_8.png,9.20119682122164,-0.007920566,0.23393765091896057
classical,bird,15,real_9.png,gen_9.png,10.660843271446566,0.03436717,0.17748667299747467
quantum,bird,0,real_0.png,gen_0.png,13.60431399876164,0.18738669,0.36522218585014343
quantum,bird,1,real_1.png,gen_1.png,10.991099155169309,0.05786245,0.36587414145469666
quantum,bird,2,real_10.png,gen_10.png,10.665242773150947,0.03565283,0.28539133071899414
quantum,bird,3,real_11.png,gen_11.png,9.907224118595302,0.017554993,0.19354954361915588
quantum,bird,4,real_12.png,gen_12.png,11.143010769673678,0.043843236,0.2436763048171997
quantum,bird,5,real_13.png,gen_13.png,7.209808587654287,-0.048929527,0.2343026101589203
quantum,bird,6,real_14.png,gen_14.png,7.285903799481409,0.13243932,0.27929142117500305
quantum,bird,7,real_15.png,gen_15.png,10.164284640406416,-0.013944101,0.17950299382209778
quantum,bird,8,real_2.png,gen_2.png,13.743750921718634,0.044958938,0.24167107045650482
quantum,bird,9,real_3.png,gen_3.png,9.683681209696358,0.041125666,0.26389679312705994
quantum,bird,10,real_4.png,gen_4.png,9.19152580273683,0.08037092,0.2676858603954315
quantum,bird,11,real_5.png,gen_5.png,8.564104865605866,-0.034866776,0.37636709213256836
quantum,bird,12,real_6.png,gen_6.png,11.796656964949403,0.08785453,0.14417734742164612
quantum,bird,13,real_7.png,gen_7.png,9.853786701161933,0.1013391,0.23800882697105408
quantum,bird,14,real_8.png,gen_8.png,9.880125603959728,0.034227867,0.24840524792671204
quantum,bird,15,real_9.png,gen_9.png,11.835205961119673,0.072116196,0.19188633561134338
classical,cat,0,real_0.png,gen_0.png,8.056672276936611,0.03679164,0.2934591770172119
classical,cat,1,real_1.png,gen_1.png,9.587964681204737,0.14391303,0.16269059479236603
classical,cat,2,real_10.png,gen_10.png,8.933936359367676,-0.06239297,0.08476418256759644
classical,cat,3,real_11.png,gen_11.png,7.813253068918118,0.060570996,0.22892296314239502
classical,cat,4,real_12.png,gen_12.png,8.713150502066311,-0.0026772271,0.09680551290512085
classical,cat,5,real_13.png,gen_13.png,9.474801458421986,0.03719238,0.3008078634738922
classical,cat,6,real_14.png,gen_14.png,10.908733956828627,-0.004254129,0.17171454429626465
classical,cat,7,real_15.png,gen_15.png,9.8538289145296,0.041840192,0.19014379382133484
classical,cat,8,real_2.png,gen_2.png,8.652932814917786,0.071976125,0.3327339291572571
classical,cat,9,real_3.png,gen_3.png,9.57293749112783,-0.013565551,0.26062270998954773
classical,cat,10,real_4.png,gen_4.png,9.005954702406864,-0.044197932,0.259723961353302
classical,cat,11,real_5.png,gen_5.png,9.79257128516898,0.053152163,0.19654884934425354
classical,cat,12,real_6.png,gen_6.png,10.404151323821008,0.03863137,0.22793233394622803
classical,cat,13,real_7.png,gen_7.png,10.806513919217544,-0.018257301,0.2374485731124878
classical,cat,14,real_8.png,gen_8.png,9.285186353250328,0.049909174,0.21338067948818207
classical,cat,15,real_9.png,gen_9.png,11.830534153687925,0.0036580323,0.3193797767162323
quantum,cat,0,real_0.png,gen_0.png,10.170386882685282,0.14297295,0.19672361016273499
quantum,cat,1,real_1.png,gen_1.png,7.2530685371623225,0.010240544,0.2049354910850525
quantum,cat,2,real_10.png,gen_10.png,11.311800233380131,0.100794636,0.13658513128757477
quantum,cat,3,real_11.png,gen_11.png,9.46358421446848,0.055463646,0.20162731409072876
